ID,TDA_feat_0,TDA_feat_1,TDA_feat_2,TDA_feat_3,TDA_feat_4,TDA_feat_5,TDA_feat_6,TDA_feat_7,TDA_feat_8,TDA_feat_9,TDA_feat_10,TDA_feat_11,TDA_feat_12,TDA_feat_13,TDA_feat_14,TDA_feat_15,TDA_feat_16,TDA_feat_17,TDA_feat_18,TDA_feat_19,TDA_feat_20,TDA_feat_21,TDA_feat_22
30,2.0899355,1.4199984,1.4199984,1.4199984,1.4199984,1.4199984,1.4199984,7.905213,1.0386617,1.0386617,1.0386617,1.0386617,1.0386617,1.0386617,0.41108704,0.41108608,0.41108513,0.41108322,0.4110775,0.41107655,0.4110756,61.0,81.0
43,2.09,1.731499,1.4199991,1.4199991,1.4199991,1.4199991,1.4199991,8.525383,1.0390437,1.0390437,1.0390437,1.0390437,1.0390437,1.0390437,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,61.0,55.0
16,1.7799933,1.6699975,1.4696084,1.4696043,1.4518427,1.4513961,1.4405272,5.1580815,1.0702132,1.0685065,1.0652176,1.0606853,1.0589943,1.0586699,0.3482833,0.3104186,0.30847502,0.30820346,0.3040421,0.29869986,0.29481292,48.0,43.0
29,1.4699355,1.4199984,1.4199984,1.4199984,1.4199984,1.4199984,1.4199984,7.905213,1.0386617,1.0386617,1.0386617,1.0386617,1.0386617,1.0386617,0.41108704,0.41108608,0.41108608,0.41108418,0.4110775,0.41107655,0.4110756,63.0,81.0
32,2.0899355,1.689276,1.4199984,1.4199984,1.4199984,1.4199984,1.4199984,7.905213,1.0386617,1.0386617,1.0386617,1.0386617,1.0386617,1.0386617,0.41108704,0.41108608,0.41108513,0.41108322,0.4110775,0.41107655,0.4110756,62.0,81.0
18,1.4700015,1.4489411,1.4458528,1.4455462,1.4422333,1.4397025,1.4327633,5.2019744,1.0733398,1.0711267,1.0694247,1.0685544,1.0680549,1.0673573,0.31181407,0.31074762,0.3056481,0.30490494,0.3019216,0.29890466,0.29128456,48.0,43.0
21,2.0900135,2.0899777,1.5389816,1.4227377,1.4203818,1.4198557,1.4166173,5.123406,1.0326695,1.0256053,1.0198601,1.0147704,1.0005722,0.9992329,0.296762,0.29484987,0.27382946,0.26884127,0.2645719,0.26052308,0.2572739,48.0,41.0
34,1.4199991,1.4199991,1.4199991,1.4199991,1.4199991,1.4199991,1.4199991,8.525383,1.0390437,1.0390437,1.0390437,1.0390437,1.0390437,1.0390437,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,60.0,55.0
44,1.4199991,1.4199991,1.4199991,1.4199991,1.4199991,1.4199991,1.4199991,8.525383,1.0390437,1.0390437,1.0390437,1.0390437,1.0390437,1.0390437,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,60.0,55.0
10,2.0900123,2.090006,1.4228625,1.4221463,1.4215652,1.4214777,1.4213189,5.027501,1.0344081,1.0288154,1.0266334,1.0176841,1.0168641,1.0131003,0.27478814,0.26737475,0.266968,0.26258087,0.26095605,0.25968742,0.25736594,56.0,45.0
8,2.0900373,1.4340228,1.4338193,1.4335796,1.433533,1.4333373,1.4332834,5.1425753,1.0855551,1.0813802,1.0766252,1.075769,1.0736693,1.0727,0.3111503,0.31052613,0.30908918,0.3047669,0.30430317,0.30374599,0.3030243,55.0,59.0
23,1.42,1.42,1.42,1.42,1.42,1.42,1.42,7.9052305,1.0386578,1.0386578,1.0386578,1.0386578,1.0386578,1.0386578,0.411088,0.411088,0.411088,0.411088,0.411088,0.411088,0.411088,61.0,56.0
